ts,label,qx,qy,qz,qw,px,py,pz
1765825218.2882998,PASSA,-0.07412175615819794,0.01520802959534021,-0.6106476046567749,-0.7882792551036687,-0.0059478397474124825,-0.002569605489571154,-0.0033562236247228357
1765825218.2884853,PASSA,-0.07411147332387195,0.015212654971564321,-0.6106536525541392,-0.7882754475897178,-0.005828882952464233,-0.0025182133797797307,-0.003289099152228379
1765825218.288613,PASSA,-0.07410836790841956,0.01521563665852479,-0.610655011006956,-0.7882746296431977,-0.005712305293414949,-0.002467849112184136,-0.0032233171691838113
1765825218.3329952,PASSA,-0.07344620197862534,0.016041999169106085,-0.6107325011562066,-0.7882601865558462,-0.00559805918754665,-0.0024184921299404533,-0.0031588508258001352
1765825218.3331623,PASSA,-0.0734452307109327,0.016049132721717173,-0.6107298809695928,-0.7882621619204905,-0.005486098003795717,-0.002370122287341644,-0.0030956738092841325
1765825218.333296,PASSA,-0.07344526921781526,0.016053869770198913,-0.6107272766976554,-0.7882640796030159,-0.0053763760437198025,-0.002322719841594811,-0.00303376033309845
1765825218.3772216,PASSA,-0.07332079870385082,0.017765791274059462,-0.6096635572624756,-0.7890619646668443,-0.005268848522845406,-0.002276265444762915,-0.002973085126436481
1765825218.377389,PASSA,-0.07331576574851936,0.01778158653856306,-0.6096531735538872,-0.7890700993248659,-0.005163471552388498,-0.0022307401358676567,-0.002913623423907751
1765825218.3799345,PASSA,-0.073236366190764,0.017910306524654376,-0.6095647670463172,-0.7891428580194679,-0.005060202121340728,-0.0021861253331503035,-0.002855350955429596
1765825218.3800704,PASSA,-0.07322484767847855,0.01792254419794035,-0.6095569078823286,-0.7891497197267897,-0.004958998078913914,-0.0021424028264872973,-0.002798243936321004
1765825218.4234798,PASSA,-0.06954512458435677,0.020738201373555972,-0.6086081563433925,-0.7901452491046396,-0.004859818117335635,-0.0020995547699575513,-0.002742279057594584
1765825218.4236422,PASSA,-0.06949399149045567,0.020785780657771258,-0.6086033892930641,-0.7901521695282286,-0.004762621754988923,-0.0020575636745584,-0.002687433476442692
1765825218.4237614,PASSA,-0.06948105768385411,0.020803371422258743,-0.6086047662287053,-0.7901517834468916,-0.004667369319889144,-0.002016412401067232,-0.002633684806913838
1765825218.4680426,PASSA,-0.06388261649891432,0.031911203517259026,-0.6109025696099769,-0.7884787485045237,-0.004574021933491361,-0.001976084153045887,-0.0025810111107755613
1765825218.4681795,PASSA,-0.06384116283945149,0.03200511002566869,-0.6109257699803611,-0.7884603239437319,-0.004482541494821533,-0.0019365624699849693,-0.00252939088856005
1765825218.4683042,PASSA,-0.0638233628232351,0.03205191766898905,-0.6109390428560297,-0.7884495791398664,-0.004392890664925103,-0.0018978312205852699,-0.002478803070788849
1765825218.5130396,PASSA,-0.05578180837765791,0.057529377337554685,-0.6178407832107256,-0.7822093883346254,-0.0043050328516266,-0.0018598745961735644,-0.002429227009373072
1765825218.5131905,PASSA,-0.05573886135801675,0.05772282663393172,-0.6178888834378891,-0.7821602024801437,-0.004218932194594068,-0.0018226771042500931,-0.0023806424691856106
1765825218.5133216,PASSA,-0.055724336823984866,0.057842150848667284,-0.6179166587900782,-0.7821304793066393,-0.004134553550702187,-0.0017862235621650911,-0.0023330296198018985
1765825218.5572433,PASSA,-0.05644865816365454,0.11341846849771231,-0.628767548004693,-0.767203474034967,-0.004051862479688143,-0.0017504990909217894,-0.0022863690274058605
1765825218.557464,PASSA,-0.05649825587698679,0.11397206213093922,-0.6288564969739437,-0.7670448633229611,-0.00397082523009438,-0.0017154891091033535,-0.0022406416468577434
1765825218.5600102,PASSA,-0.057010560155856274,0.1181176697532569,-0.6294238334460217,-0.7659136047968405,-0.0038914087254924923,-0.0016811793269212864,-0.0021958288139205884
1765825218.560123,PASSA,-0.057049063342934796,0.11856315461137035,-0.6294741589337903,-0.7658005392887179,-0.0038135805509826423,-0.0016475557403828607,-0.0021519122376421765
1765825218.6029851,PASSA,-0.05904710915477455,0.19804978660175196,-0.6351668083567347,-0.7442129040062284,-0.0037373089399629893,-0.0016146046255752034,-0.002108873992889333
1765825218.603154,PASSA,-0.05901935485653178,0.19856103066978747,-0.6351655775509816,-0.744079916370546,-0.0036625627611637296,-0.0015823125330636993,-0.0020666965130315463
1765825218.6032426,PASSA,-0.05899254576770894,0.1988398699155945,-0.6351523742534527,-0.7440188486564009,-0.003589311505940455,-0.0015506662824024253,-0.0020253625827709155
1765825218.6480737,PASSA,-0.04709176953700673,0.28758196591953444,-0.6238525037920889,-0.725180688954188,-0.0035175252758216456,-0.0015196529567543767,-0.001984855331115497
