ts,label,qx,qy,qz,qw,px,py,pz
1765824662.1051457,OI,-0.0917354928766466,0.005084336448843517,0.9192949540977259,-0.38269509565712184,-4.77556176196529e-07,-3.8064329337150794e-07,-1.744650012458905e-05
1765824662.1052217,OI,-0.09171338881041348,0.0050601582520115014,0.9193020299603417,-0.38268371643195054,-4.680050526725984e-07,-3.730304275040778e-07,-1.7097570122097267e-05
1765824662.1052785,OI,-0.0917076979996524,0.005044626353260531,0.9193045925564897,-0.38267912926772873,-4.586449516191464e-07,-3.6556981895399625e-07,-1.675561871965532e-05
1765824662.1490326,OI,-0.0888701819369434,-0.008642432964330692,0.9214127860009244,-0.378187621305836,-4.494720525867635e-07,-3.5825842257491633e-07,-1.6420506345262216e-05
1765824662.1491914,OI,-0.08885141165397493,-0.008752829957235789,0.9214318365861414,-0.37814307496016114,-4.404826115350282e-07,-3.51093254123418e-07,-1.6092096218356973e-05
1765824662.1520133,OI,-0.08867574964534754,-0.010119061189226728,0.9216945984115126,-0.3775093154937038,-4.316729593043276e-07,-3.4407138904094964e-07,-1.5770254293989833e-05
1765824662.1949282,OI,-0.08656816530752036,-0.034558203229623954,0.9257627686408546,-0.3664355052983397,-4.2303950011824103e-07,-3.3718996126013063e-07,-1.5454849208110036e-05
1765824662.1950524,OI,-0.08655472935328086,-0.03468692448918709,0.9257802101582169,-0.36638244850902674,-4.145787101158762e-07,-3.30446162034928e-07,-1.5145752223947836e-05
1765824662.1951149,OI,-0.086538585125259,-0.034743797543742225,0.9257864800147018,-0.3663650300434608,-4.0628713591355865e-07,-3.238372387942294e-07,-1.484283717946888e-05
1765824662.2399788,OI,-0.07369582807680096,-0.05900607625030005,0.9279850642125412,-0.3604593298668575,-3.9816139319528745e-07,-3.173604940183448e-07,-1.4545980435879502e-05
1765824662.2400868,OI,-0.07359247106938752,-0.0591350452904051,0.9279947249787791,-0.3604344392978604,-3.901981653313817e-07,-3.110132841379779e-07,-1.425506082716191e-05
1765824662.2401876,OI,-0.07353848101410704,-0.059208887371992945,0.928000133906242,-0.36041940976632414,-3.8239420202475403e-07,-3.0479301845521833e-07,-1.3969959610618672e-05
1765824662.2402403,OI,-0.07351117831910617,-0.059256437095638215,0.9280036013024151,-0.36040823699607,-3.7474631798425893e-07,-2.98697158086114e-07,-1.3690560418406298e-05
1765824662.2849114,OI,-0.05770676865823647,-0.10019146493066493,0.9302992679570217,-0.3481018116078996,-3.6725139162457375e-07,-2.927232149243917e-07,-1.3416749210038173e-05
1765824662.2850277,OI,-0.05763371173115244,-0.1003995943824035,0.9303080025289578,-0.34803059800902525,-3.5990636379208225e-07,-2.868687506259038e-07,-1.314841422583741e-05
1765824662.285098,OI,-0.05759420018806227,-0.10050304032928631,0.930312920727945,-0.3479941328756958,-3.527082365162406e-07,-2.811313756133857e-07,-1.288544594132066e-05
1765824662.329952,OI,-0.035882826916372956,-0.1478097202830412,0.9310770625725379,-0.3316024922608895,-3.456540717859158e-07,-2.75508748101118e-07,-1.2627737022494246e-05
1765824662.330064,OI,-0.03575899396774562,-0.1480384407182096,0.9310729244407325,-0.33152544969205255,-3.387409903501975e-07,-2.6999857313909564e-07,-1.237518228204436e-05
1765824662.3301275,OI,-0.03569900672201434,-0.1481333315811343,0.9310711005683852,-0.3314946495497497,-3.319661705431935e-07,-2.645986016763137e-07,-1.2127678636403472e-05
1765824662.374995,OI,0.001563418979773593,-0.2010182710210495,0.9283677614609933,-0.3126059978898449,-3.2532684713232964e-07,-2.5930662964278743e-07,-1.1885125063675403e-05
1765824662.3751516,OI,0.0017715183451362272,-0.20134274396749577,0.9283412421907886,-0.3124747977390429,-3.1882031018968303e-07,-2.541204970499317e-07,-1.1647422562401894e-05
1765824662.3753135,OI,0.0019050739603450268,-0.20161246649393044,0.9283193948676277,-0.312364987090488,-3.1244390398588937e-07,-2.4903808710893305e-07,-1.1414474111153856e-05
1765824662.4200115,OI,0.026049917775843222,-0.2735303394819495,0.9180929620092012,-0.2856709090473386,-3.1244390398588937e-07,-0.009730248162284934,-1.1414474111153856e-05
1765824662.420151,OI,0.026168394278642645,-0.27394786665190407,0.9180098213084926,-0.28552714315612343,-3.1244390398588937e-07,-0.009783604826500009,-1.1414474111153856e-05
1765824662.420262,OI,0.026241405952661338,-0.2742130892426919,0.9179534507102158,-0.28544707500833605,-3.1244390398588937e-07,-0.009815623026330775,-1.1414474111153856e-05
1765824662.4650095,OI,0.0512513849817939,-0.3604363495258296,0.894047767432553,-0.26103165138888706,-3.1244390398588937e-07,-0.038344045016065136,-1.1414474111153856e-05
1765824662.4651427,OI,0.051373491268140496,-0.36084448103261396,0.8939166809532552,-0.2608926837163932,-5.9129606580937204e-08,-0.0384801258964824,-1.1414474111153856e-05
1765824662.46525,OI,0.051468315008198665,-0.3611182294798478,0.8938368677570856,-0.26076865364870666,2.506300432466746e-07,-0.038571292141932056,-1.1414474111153856e-05
1765824662.4653044,OI,0.05151628405431407,-0.3612463141708338,0.893802037538158,-0.2607011520263377,4.2716842286048714e-07,-0.03861370810756928,-1.1414474111153856e-05
1765824662.510124,OI,0.08356279694374724,-0.44292989612966477,0.8673502680897438,-0.21103051562784012,0.01525528476715003,-0.08224148948863372,-1.1414474111153856e-05
1765824662.5102344,OI,0.08380645016626419,-0.4434906146222958,0.8671275729004838,-0.21067113226112402,0.015362951881151244,-0.08254721282850565,-1.2365772242938458e-05
1765824662.5102897,OI,0.08385417069453215,-0.4436233487260924,0.8670749109482874,-0.21058941408864704,0.01538778651921067,-0.08261762156022298,-1.2651680025575533e-05
1765824662.554072,OI,0.09636203292795151,-0.523652940765124,0.8315519425951783,-0.15818761963003156,0.04235031405708013,-0.12402172770635642,-0.029030937233748586
1765824662.5568652,OI,0.09531162231900145,-0.529125579350893,0.8290734720978772,-0.1535545303502063,0.044158361219541385,-0.12667563145037364,-0.031058565647975545
1765824662.5569813,OI,0.09519494810111019,-0.5294753684002809,0.8289271091099641,-0.15321097837952533,0.044273966176896065,-0.1268447554779732,-0.031188551725317367
1765824662.60019,OI,0.06660514816290701,-0.5920084531432798,0.8001466038739964,-0.06967896349694193,0.08412381421435805,-0.15094607870680551,-0.09205196546612122
1765824662.6003122,OI,0.06650075578215467,-0.5922586017340014,0.800026090390051,-0.06903370805409398,0.08442299176150063,-0.1511258962348466,-0.0925098475265488
1765824662.600375,OI,0.06649151969631031,-0.5923002232997718,0.8000125312856398,-0.06884237847037988,0.08450674832403914,-0.15117618431186602,-0.09263816727076411
1765824662.643989,OI,0.06977280705498487,-0.59924669128719,0.7970175331746414,0.028252613847790983,0.12368532991732803,-0.1746993026080456,-0.17974922844165753
1765824662.6441317,OI,0.06986592061541069,-0.5992158597989509,0.7970137560579852,0.028778102027543204,0.12388175518862943,-0.17481741347194513,-0.18018714156220553
1765824662.6459782,OI,0.07094149544986247,-0.5987963742738714,0.7970780848945288,0.03281360938197811,0.1254124203559005,-0.1757582871675173,-0.18370067786879085
1765824662.6901202,OI,0.09932568698695417,-0.5831303927427236,0.7963631957724339,0.12609128987920826,0.13367345923143062,-0.1989153845667363,-0.27017700604141537
1765824662.6902297,OI,0.0994199207490455,-0.5830394581108113,0.7963441520028445,0.12655694850530957,0.1337170537240058,-0.19904064238783392,-0.27064476053830633
1765824662.6902883,OI,0.0994229107468964,-0.5830174365285943,0.7963387815039017,0.1266897730486655,0.13373115216370138,-0.19908148684468976,-0.2707972873681679
1765824662.735268,OI,0.08011937157556184,-0.5814821706183791,0.7912771054178729,0.17128897802482176,0.10415975836919601,-0.22193390526031995,-0.35613584255837116
1765824662.7353754,OI,0.07999441422798492,-0.5815072470205743,0.7912518643258202,0.17137882761819798,0.1040376231666269,-0.22202779330939024,-0.3564864518598272
1765824662.7354734,OI,0.07991518663053693,-0.5815350421959021,0.7912388475916529,0.1713815734139754,0.1039752157393888,-0.22207563654340942,-0.3566651144587945
1765824662.735532,OI,0.07984190526328104,-0.5815762725680377,0.791228503235027,0.1713235681926328,0.1039149720357179,-0.2221217491750681,-0.3568371505419643
1765824662.7791684,OI,0.05752955060054,-0.6040901598984972,0.7852287482812931,0.12321218443847971,0.048231478421457696,-0.2565319312237452,-0.4363802555449248
1765824662.7792907,OI,0.05750733634928587,-0.6041959328123473,0.7851925947891009,0.12293400720462323,0.047998358601489946,-0.25667600695109016,-0.43671273709915354
1765824662.7818363,OI,0.059168632071209246,-0.6059997049344437,0.7843932477634689,0.11828213500468443,0.045456934943693475,-0.2582599495197306,-0.4403005882430199
1765824662.8250763,OI,0.10702982445646395,-0.6354940385642919,0.7636930253522557,0.03827409900159401,0.002120259389755408,-0.28526953722961956,-0.5014810767776914
1765824662.8252254,OI,0.1073785733259469,-0.6356521985037712,0.7635356404739072,0.03780807127991078,0.0018444994880601813,-0.28544140461807294,-0.5018703804168916
1765824662.8253496,OI,0.10753205409375798,-0.6357189362974068,0.7634685263303425,0.03760453002293759,0.0017250169669395952,-0.2855158721122394,-0.5020390596918953
1765824662.8703632,OI,0.1571733278948505,-0.6560894203374118,0.7369031659882251,-0.04262559649209717,-0.04185179837834826,-0.31267512697296973,-0.5635585652269158
1765824662.8706574,OI,0.15744172575025922,-0.6563052843428665,0.7366065610700362,-0.04343099037535777,-0.042323455872919906,-0.31296870592986664,-0.5642263514313923
1765824662.8708184,OI,0.15735298953836027,-0.6564572664019153,0.7364729383384013,-0.043720763564545524,-0.04255780291013711,-0.3131144600903809,-0.5645591564578597
1765824662.9154508,OI,0.12066258352129897,-0.685720749839912,0.7140852620838732,-0.07286859852886161,-0.05471164699460925,-0.31708385594730987,-0.6237800166645342
1765824662.9157014,OI,0.1201743909324225,-0.6860317007949013,0.7138627010811117,-0.07292917985042564,-0.054846588811746005,-0.31712619155578503,-0.624456647772967
1765824662.9159293,OI,0.12005341132249021,-0.6861200037285764,0.7138100784864426,-0.0728127101851713,-0.05490626042128289,-0.3171445679168421,-0.6247599121339464
1765824662.9600565,OI,0.11440709616931985,-0.6944567711612512,0.7094060299473699,-0.03720072591637163,-0.03513710507623941,-0.30228605982370815,-0.6818496527285871
1765824662.9601831,OI,0.1144403498062485,-0.6944635698561757,0.7094095804988609,-0.03690262287792207,-0.03502931406438627,-0.3022050714815761,-0.6821591137913425
1765824662.9602914,OI,0.11445297472654585,-0.6944628814662251,0.7094182575380764,-0.03670910940777165,-0.03497005244069571,-0.3021605454995648,-0.682329250101714
1765824662.9603462,OI,0.1144572541803182,-0.6944615787766911,0.709424435128172,-0.03660086626791457,-0.0349403003639621,-0.30213819139667425,-0.6824146664005952
1765824663.004072,OI,0.11920384365859128,-0.6908517937837939,0.7122823644562399,0.03417712637658356,-0.029679559506704457,-0.28794955050177795,-0.7366302704591327
